Date of Stop ,Time Of Stop ,Race,Sex,Age,ReasonForStop,ResultsOfSearch,ResultOfStop,Location of Stop ,District
02-JAN-16,1420,B,F,58,1,1,3,ALEMANY BLVD. & SENECA AVE.,H
02-JAN-16,1425,O,M,46,1,1,2,636 SHRADER ST,F
02-JAN-16,1430,A,M,52,1,1,2,GENEVA AVE. & CAYUGA ST.,H
02-JAN-16,1430,B,M,23,2,1,2,LA SALLE AVE & MENDELL ST,C
02-JAN-16,1430,W,M,68,2,1,2,LAKE MERCED & SUNSET,I
02-JAN-16,1436,A,F,33,2,1,2,BAYSHORE BLVD & OAKDALE AVE,C
02-JAN-16,1439,O,M,32,1,1,3,6TH  AND MISSION ST,B
02-JAN-16,1440,W,M,53,2,1,1,TOLAND ST. & EVAN AVE,C
02-JAN-16,1445,A,M,28,1,1,2,PINE/POWELL STREETS,A
02-JAN-16,1446,A,M,33,2,1,2,3RD ST. & FOLSOM ST.,B
02-JAN-16,1450,W,F,19,1,1,2,JEFFERSON ST. & TAYLOR ,A
02-JAN-16,1450,W,M,31,2,1,3,FILLMORE ST & ELLIS ST,E
02-JAN-16,1500,B,M,26,2,1,3,FILLMORE & TURK ST.,E
02-JAN-16,1525,W,M,42,2,1,3,2250 HAYES ST ,F
02-JAN-16,1527,B,M,29,1,1,3,JONES ST & GOLDEN GATE AVE,J
02-JAN-16,1528,O,F,41,2,1,2,1160 BATTERY,A
02-JAN-16,1528,W,F,30,2,1,2,PINE ST & STEINER ST,E
02-JAN-16,1530,O,M,28,1,1,3,250 COLLRIDGE,H
02-JAN-16,1535,W,M,61,1,1,2,MISSION ST & 22ND ST,D
02-JAN-16,1538,B,M,50,1,1,2,TAYLOR ST & TURK ST,J
02-JAN-16,1540,A,M,40,1,1,3,BAY ST & HYDE ST.,A
02-JAN-16,1540,H,M,23,2,1,2,700 MARKET ST,J
02-JAN-16,1540,H,M,23,2,1,2,E/B 700 MARKET ST,J
02-JAN-16,1552,B,M,42,1,1,2,62 SCHERWIN,H
02-JAN-16,1600,W,F,47,1,1,2,17TH ST AND COLE,F
02-JAN-16,1604,W,F,47,1,1,3,300 MONTEREY ,H
02-JAN-16,1610,W,M,35,1,1,2,CABRILLO ST. & FUNSTON ST.,G
02-JAN-16,1610,W,M,49,5,3,2,4750 MISSION ST,H
02-JAN-16,1618,B,M,41,1,1,2,CYRIL MAGNIN AT ELLIS ST,J
02-JAN-16,1620,W,M,25,1,1,2,SANSOME & BROADWAY ST,A
02-JAN-16,1630,B,M,54,2,1,3,273 SCHWERIN,H
02-JAN-16,1644,O,M,21,2,1,3,POLK AND CLAY ST,A
02-JAN-16,1650,A,M,37,1,1,2,ALEMANY & GENEVA,H
02-JAN-16,1658,B,M,34,2,0,2,WEBSTER  ST. & HAIGHT ST.,E
02-JAN-16,1700,W,M,30,2,1,2,6TH ST & MINNA ST,B
02-JAN-16,1700,W,M,31,2,1,2,966 HARRISON ST,B
02-JAN-16,1705,O,M,65,1,1,2,POLK ST. & SACREMENTO ST. ,E
02-JAN-16,1720,O,M,29,4,0,3,1016 FOLSOM ST,B
02-JAN-16,1745,B,F,26,2,1,3,9TH ST & NATOMA,B
02-JAN-16,1750,O,M,33,1,1,2,562 BELEVEDRE ST.,F
02-JAN-16,1750,W,M,30,2,1,3,MISSION ST & 6TH ST,B
02-JAN-16,1815,O,F,19,2,1,3,MINNA ST & 6TH ST,B
02-JAN-16,1815,W,M,27,1,1,3,FILLMORE ST & GERMANIA ST,E
02-JAN-16,1820,O,M,28,1,1,3,MANSELL & BOWDOIN,H
02-JAN-16,1827,O,M,27,1,1,3,FILLMORE ST & HAIGHT ST,E
02-JAN-16,1830,A,F,33,2,1,2,9TH ST @ NATOMA ST,B
02-JAN-16,1830,B,F,40,1,1,2,HOWARD ST & 6TH,B
02-JAN-16,1830,W,M,36,1,1,2,SACRAMENTO/TAYLOR,A
02-JAN-16,1833,W,M,67,2,1,3,MISSION ST & 11TH ST,B
02-JAN-16,1835,W,M,26,2,1,2,9TH ST & MISSION ST,B
02-JAN-16,1845,H,M,50,1,1,2,BUSH & STOCKTON ST ,A
02-JAN-16,1850,B,M,40,2,2,1,6TH & MISSION ST,B
02-JAN-16,1855,H,M,30,2,1,3,789 MISSION ST,B
02-JAN-16,1903,W,M,33,1,1,3,ILLINOIS & 20TH ST,C
02-JAN-16,1906,B,F,48,1,1,3,VALLEJO & COLUMBUS,A
02-JAN-16,1912,B,M,38,2,1,2,POLK/GEARY,E
02-JAN-16,1915,H,M,23,1,0,2,CAPP ST & 25TH ST,D
02-JAN-16,1916,W,F,36,2,1,3,CALIFORNIA @ POLK,E
